class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size
p,x,s,n,t,p,f,c,n
e,x,s,y,t,a,f,c,b
e,b,s,w,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,x,s,g,f,n,f,w,b
e,x,y,y,t,a,f,c,b
e,b,s,w,t,a,f,c,b
e,b,y,w,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,b,s,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,x,y,y,t,a,f,c,b
e,b,s,y,t,a,f,c,b
p,x,y,w,t,p,f,c,n
e,x,f,n,f,n,f,w,b
e,s,f,g,f,n,f,c,n
e,f,f,w,f,n,f,w,b
p,x,s,n,t,p,f,c,n
p,x,y,w,t,p,f,c,n
p,x,s,n,t,p,f,c,n
e,b,s,y,t,a,f,c,b
p,x,y,n,t,p,f,c,n
e,b,y,y,t,l,f,c,b
e,b,y,w,t,a,f,c,b
e,b,s,w,t,l,f,c,b
p,f,s,w,t,p,f,c,n
e,x,y,y,t,a,f,c,b
e,x,y,w,t,l,f,c,b
e,f,f,n,f,n,f,c,n
e,x,s,y,t,a,f,w,n
e,b,s,y,t,l,f,c,b
p,x,y,w,t,p,f,c,n
e,x,y,y,t,l,f,c,b
e,x,y,n,t,l,f,c,b
e,b,y,y,t,l,f,c,b
e,x,f,y,t,l,f,w,n
e,s,f,g,f,n,f,c,n
p,x,y,n,t,p,f,c,n
e,x,f,y,t,a,f,w,n
e,b,s,y,t,l,f,c,b
e,b,y,y,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,x,f,n,f,n,f,c,n
p,x,y,w,t,p,f,c,n
e,x,s,y,t,a,f,c,b
e,x,y,w,t,a,f,c,b
e,x,y,y,t,l,f,c,b
e,x,s,w,t,l,f,c,b
e,x,y,y,t,l,f,c,b
e,f,y,y,t,l,f,c,b
e,x,y,n,t,a,f,c,b
e,x,s,w,t,l,f,c,b
e,b,s,w,t,l,f,c,b
p,x,y,n,t,p,f,c,n
p,x,s,w,t,p,f,c,n
e,b,y,y,t,a,f,c,b
